psgc_code,name,province,geographic_level,income_classification,population_2024
1004214000,Sinacaban,Misamis Occidental,Mun,4th,20176
1004215000,City of Tangub,Misamis Occidental,City,3rd,68419
1004216000,Tudela,Misamis Occidental,Mun,3rd,29082
1004217000,Don Victoriano Chiongbian,Misamis Occidental,Mun,3rd,10214
1004301000,Alubijid,Misamis Oriental,Mun,1st,35411
1004302000,Balingasag,Misamis Oriental,Mun,1st,76877
1004303000,Balingoan,Misamis Oriental,Mun,4th,11896
1004304000,Binuangan,Misamis Oriental,Mun,5th,8293
1004306000,Claveria,Misamis Oriental,Mun,1st,52718
1004307000,City of El Salvador,Misamis Oriental,City,4th,62126
1004308000,City of Gingoog,Misamis Oriental,City,1st,138895
1004309000,Gitagum,Misamis Oriental,Mun,2nd,19269
1004310000,Initao,Misamis Oriental,Mun,1st,34445
1004311000,Jasaan,Misamis Oriental,Mun,1st,58098
1004312000,Kinoguitan,Misamis Oriental,Mun,4th,15763
1004313000,Lagonglong,Misamis Oriental,Mun,4th,25072
1004314000,Laguindingan,Misamis Oriental,Mun,2nd,27688
1004315000,Libertad,Misamis Oriental,Mun,4th,13461
1004316000,Lugait,Misamis Oriental,Mun,3rd*,20946
1004317000,Magsaysay,Misamis Oriental,Mun,2nd,37084
1004318000,Manticao,Misamis Oriental,Mun,2nd,30968
1004319000,Medina,Misamis Oriental,Mun,2nd,36692
1004320000,Naawan,Misamis Oriental,Mun,3rd,23562
1004321000,Opol,Misamis Oriental,Mun,1st,66836
1004322000,Salay,Misamis Oriental,Mun,2nd,31128
1004323000,Sugbongcogon,Misamis Oriental,Mun,5th,11156
1004324000,Tagoloan,Misamis Oriental,Mun,1st,80424
1004325000,Talisayan,Misamis Oriental,Mun,3rd,26801
1004326000,Villanueva,Misamis Oriental,Mun,1st,42456
1030500000,City of Cagayan De Oro,,City,1st,741617
1030900000,City of Iligan,,City,1st,368132
1102301000,Asuncion,Davao del Norte,Mun,1st,62929
1102303000,Carmen,Davao del Norte,Mun,1st,85423
1102305000,Kapalong,Davao del Norte,Mun,1st,80731
1102314000,New Corella,Davao del Norte,Mun,1st,60454
1102315000,City of Panabo,Davao del Norte,City,1st,211242
1102317000,Island Garden City of Samal,Davao del Norte,City,2nd,119701
1102318000,Santo Tomas,Davao del Norte,Mun,1st,131100
1102319000,City of Tagum,Davao del Norte,City,1st,300042
1102322000,Talaingod,Davao del Norte,Mun,1st,28665
1102323000,Braulio E. Dujali,Davao del Norte,Mun,3rd,36092
1102324000,San Isidro,Davao del Norte,Mun,3rd,27552
1102401000,Bansalan,Davao del Sur,Mun,1st,64816
1102403000,City of Digos,Davao del Sur,City,1st,192063
1102404000,Hagonoy,Davao del Sur,Mun,1st,58689
1102406000,Kiblawan,Davao del Sur,Mun,1st,53757
1102407000,Magsaysay,Davao del Sur,Mun,1st,57936
1102408000,Malalag,Davao del Sur,Mun,1st,40280
1102410000,Matanao,Davao del Sur,Mun,1st,62773
1102411000,Padada,Davao del Sur,Mun,2nd,29888
1102412000,Santa Cruz,Davao del Sur,Mun,1st,104793
1102414000,Sulop,Davao del Sur,Mun,2nd,40134
1102501000,Baganga,Davao Oriental,Mun,1st,59796
1102502000,Banaybanay,Davao Oriental,Mun,1st,46231
1102503000,Boston,Davao Oriental,Mun,2nd,15074
1102504000,Caraga,Davao Oriental,Mun,1st,39630
1102505000,Cateel,Davao Oriental,Mun,1st,45623
1102506000,Governor Generoso,Davao Oriental,Mun,1st,63695
1102507000,Lupon,Davao Oriental,Mun,1st,68717
1102508000,Manay,Davao Oriental,Mun,1st,39271
1102509000,City of Mati,Davao Oriental,City,1st,148672
1102510000,San Isidro,Davao Oriental,Mun,2nd,35984
1102511000,Tarragona,Davao Oriental,Mun,2nd,27349
1108201000,Compostela,Davao de Oro,Mun,1st,89224
1108202000,Laak,Davao de Oro,Mun,1st,83632
1108203000,Mabini,Davao de Oro,Mun,1st,43971
1108204000,Maco,Davao de Oro,Mun,1st,87680
1108205000,Maragusan,Davao de Oro,Mun,1st,67759
1108206000,Mawab,Davao de Oro,Mun,1st,41050
1108207000,Monkayo,Davao de Oro,Mun,1st,96405
1108208000,Montevista,Davao de Oro,Mun,1st,46581
1108209000,Nabunturan,Davao de Oro,Mun,1st,85949
1108210000,New Bataan,Davao de Oro,Mun,1st,50212
1108211000,Pantukan,Davao de Oro,Mun,1st,91312
1108601000,Don Marcelino,Davao Occidental,Mun,1st,45681
1108602000,Jose Abad Santos,Davao Occidental,Mun,1st,72552
1108603000,Malita,Davao Occidental,Mun,1st,118438
1108604000,Santa Maria,Davao Occidental,Mun,1st,58886
1108605000,Sarangani,Davao Occidental,Mun,4th,22041
1130700000,City of Davao,,City,1st,1848947
1204701000,Alamada,Cotabato,Mun,1st,71523
1204702000,Carmen,Cotabato,Mun,1st,79741
1204703000,Kabacan,Cotabato,Mun,1st,77945
1204704000,City of Kidapawan,Cotabato,City,1st,160864
1204705000,Libungan,Cotabato,Mun,1st,57776
1204706000,Magpet,Cotabato,Mun,1st,55255
1204707000,Makilala,Cotabato,Mun,1st,88522
1204708000,Matalam,Cotabato,Mun,1st,81610
1204709000,Midsayap,Cotabato,Mun,1st,115735
1204710000,M'Lang,Cotabato,Mun,1st,98646
1204711000,Pigkawayan,Cotabato,Mun,1st,53593
1204712000,Pikit,Cotabato,Mun,1st,67220
1204713000,President Roxas,Cotabato,Mun,1st,51245
1204714000,Tulunan,Cotabato,Mun,1st,61901
1204715000,Antipas,Cotabato,Mun,1st,26946
1204716000,Banisilan,Cotabato,Mun,1st,48013
1204717000,Aleosan,Cotabato,Mun,1st,38023
1204718000,Arakan,Cotabato,Mun,1st,51584
1206302000,Banga,South Cotabato,Mun,1st,91536
1206306000,City of Koronadal,South Cotabato,City,1st,201844
1206311000,Norala,South Cotabato,Mun,2nd,48499
1206312000,Polomolok,South Cotabato,Mun,1st,176671
1206313000,Surallah,South Cotabato,Mun,1st,91412
1206314000,Tampakan,South Cotabato,Mun,1st,42304
1206315000,Tantangan,South Cotabato,Mun,2nd,48570
1206316000,T'Boli,South Cotabato,Mun,1st,105296
1206317000,Tupi,South Cotabato,Mun,1st,78599
1206318000,Santo Niño,South Cotabato,Mun,2nd,41026
1206319000,Lake Sebu,South Cotabato,Mun,1st,84252
1206501000,Bagumbayan,Sultan Kudarat,Mun,1st,69830
1206502000,Columbio,Sultan Kudarat,Mun,1st,33337
1206503000,Esperanza,Sultan Kudarat,Mun,1st,73822
1206504000,Isulan,Sultan Kudarat,Mun,1st,101455
1206505000,Kalamansig,Sultan Kudarat,Mun,1st,52257
1206506000,Lebak,Sultan Kudarat,Mun,1st,93312
1206507000,Lutayan,Sultan Kudarat,Mun,1st,65425
1206508000,Lambayong,Sultan Kudarat,Mun,1st,81288
1206509000,Palimbang,Sultan Kudarat,Mun,1st,83633
1206510000,President Quirino,Sultan Kudarat,Mun,2nd,44344
1206511000,City of Tacurong,Sultan Kudarat,City,3rd,116945
1206512000,Sen. Ninoy Aquino,Sultan Kudarat,Mun,1st,48003
1208001000,Alabel,Sarangani,Mun,1st,90120
1208002000,Glan,Sarangani,Mun,1st,117017
1208003000,Kiamba,Sarangani,Mun,1st,68745
1208004000,Maasim,Sarangani,Mun,1st,67907
1208005000,Maitum,Sarangani,Mun,1st,46120
1208006000,Malapatan,Sarangani,Mun,1st,82577
1208007000,Malungon,Sarangani,Mun,1st,108429
1230800000,City of General Santos,,City,1st,722059
1380100000,City of Caloocan,,City,1st,1712945
1380200000,City of Las Piñas,,City,1st,615549
1380300000,City of Makati,,City,1st,309770
1380400000,City of Malabon,,City,1st,389929
1380500000,City of Mandaluyong,,City,1st,465902
1380600000,City of Manila,,City,1st,1902590
1380700000,City of Marikina,,City,1st,471323
1380800000,City of Muntinlupa,,City,1st,552225
1380900000,City of Navotas,,City,1st,252878
1381000000,City of Parañaque,,City,1st,703245
1381100000,Pasay City,,City,1st,453186
1381200000,City of Pasig,,City,1st,853050
1381300000,Quezon City,,City,1st,3084270
1381400000,City of San Juan,,City,1st,134312
1381500000,City of Taguig,,City,1st,1308085
1381600000,City of Valenzuela,,City,1st,725173
1381701000,Pateros,,Mun,1st,67319
1400101000,Bangued,Abra,Mun,1st,48331
1400102000,Boliney,Abra,Mun,3rd,3778
1400103000,Bucay,Abra,Mun,3rd,17775
1400104000,Bucloc,Abra,Mun,4th,2264
1400105000,Daguioman,Abra,Mun,4th,1773
1400106000,Danglas,Abra,Mun,3rd,4372
1400107000,Dolores,Abra,Mun,3rd,11967
1400108000,La Paz,Abra,Mun,4th,16014
1400109000,Lacub,Abra,Mun,2nd,3649
1400110000,Lagangilang,Abra,Mun,3rd,14577
1400111000,Lagayan,Abra,Mun,4th,5154
1400112000,Langiden,Abra,Mun,4th,3457
1400113000,Licuan-Baay,Abra,Mun,3rd,4301
1400114000,Luba,Abra,Mun,1st,6402
1400115000,Malibcong,Abra,Mun,3rd,4167
1400116000,Manabo,Abra,Mun,3rd,11087
1400117000,Peñarrubia,Abra,Mun,4th,7003
1400118000,Pidigan,Abra,Mun,3rd,12058
1400119000,Pilar,Abra,Mun,1st,10498
1400120000,Sallapadan,Abra,Mun,4th,6328
1400121000,San Isidro,Abra,Mun,2nd,4771
1400122000,San Juan,Abra,Mun,4th,10777
1400123000,San Quintin,Abra,Mun,3rd,5963
1400124000,Tayum,Abra,Mun,1st,14808
1400125000,Tineg,Abra,Mun,1st,5059
1400126000,Tubo,Abra,Mun,2nd,4941
1400127000,Villaviciosa,Abra,Mun,1st,5674
1401101000,Atok,Benguet,Mun,3rd,19346
1401103000,Bakun,Benguet,Mun,3rd,15399
1401104000,Bokod,Benguet,Mun,2nd,16071
1401105000,Buguias,Benguet,Mun,1st,45703
1401106000,Itogon,Benguet,Mun,1st,59736
1401107000,Kabayan,Benguet,Mun,3rd,15841
1401108000,Kapangan,Benguet,Mun,3rd,20048
1401109000,Kibungan,Benguet,Mun,3rd,16884
1401110000,La Trinidad,Benguet,Mun,1st,142925
1401111000,Mankayan,Benguet,Mun,2nd*,38647
1401112000,Sablan,Benguet,Mun,4th,12436
1401113000,Tuba,Benguet,Mun,1st,49268
1401114000,Tublay,Benguet,Mun,4th,20886
1402701000,Banaue,Ifugao,Mun,3rd,20143
1402702000,Hungduan,Ifugao,Mun,3rd,8970
1402703000,Kiangan,Ifugao,Mun,3rd,17849
1402704000,Lagawe,Ifugao,Mun,3rd,19124
1402705000,Lamut,Ifugao,Mun,2nd,26520
1402706000,Mayoyao,Ifugao,Mun,3rd,15525
1402707000,Alfonso Lista,Ifugao,Mun,1st,34810
1402708000,Aguinaldo,Ifugao,Mun,1st,20924
1402709000,Hingyon,Ifugao,Mun,5th,9966
1402710000,Tinoc,Ifugao,Mun,3rd,18749
1402711000,Asipulo,Ifugao,Mun,4th,16088
1403201000,Balbalan,Kalinga,Mun,1st,13332
1403206000,Lubuagan,Kalinga,Mun,4th,8660
1403208000,Pasil,Kalinga,Mun,4th,10690
1403209000,Pinukpuk,Kalinga,Mun,1st,35033
1403211000,Rizal,Kalinga,Mun,3rd,20491
1403213000,City of Tabuk,Kalinga,City,1st,122771
1403214000,Tanudan,Kalinga,Mun,3rd,11103
1403215000,Tinglayan,Kalinga,Mun,3rd,13311
1404401000,Barlig,Mountain Province,Mun,4th,4363
1404402000,Bauko,Mountain Province,Mun,2nd,31470
1404403000,Besao,Mountain Province,Mun,4th,6315
1404404000,Bontoc,Mountain Province,Mun,1st,23466
1404405000,Natonin,Mountain Province,Mun,3rd,8906
1404406000,Paracelis,Mountain Province,Mun,1st,30143
1404407000,Sabangan,Mountain Province,Mun,4th,8556
1404408000,Sadanga,Mountain Province,Mun,5th,7781
1404409000,Sagada,Mountain Province,Mun,4th,10702
1404410000,Tadian,Mountain Province,Mun,3rd,18073
1408101000,Calanasan,Apayao,Mun,1st,12176
1408102000,Conner,Apayao,Mun,1st,28360
1408103000,Flora,Apayao,Mun,2nd,18271
1408104000,Kabugao,Apayao,Mun,1st,16425
1408105000,Luna,Apayao,Mun,1st,21630
1408106000,Pudtol,Apayao,Mun,2nd,15676
1408107000,Santa Marcela,Apayao,Mun,4th,14049
1430300000,City of Baguio,,City,1st,368426
1600201000,Buenavista,Agusan del Norte,Mun,1st,70691
1600203000,City of Cabadbaran,Agusan del Norte,City,3rd,82343
1600204000,Carmen,Agusan del Norte,Mun,3rd,23304
1600205000,Jabonga,Agusan del Norte,Mun,2nd,25937
1600206000,Kitcharao,Agusan del Norte,Mun,3rd,22671
1600207000,Las Nieves,Agusan del Norte,Mun,1st,32402
1600208000,Magallanes,Agusan del Norte,Mun,4th,22780
1600209000,Nasipit,Agusan del Norte,Mun,1st,46382
1600210000,Santiago,Agusan del Norte,Mun,1st,33877
1600211000,Tubay,Agusan del Norte,Mun,1st,26463
1600212000,Remedios T. Romualdez,Agusan del Norte,Mun,4th,17250
1600301000,City of Bayugan,Agusan del Sur,City,1st,110313
1600302000,Bunawan,Agusan del Sur,Mun,1st,50999
1600303000,Esperanza,Agusan del Sur,Mun,1st,59065
1600304000,La Paz,Agusan del Sur,Mun,1st,29096
1600305000,Loreto,Agusan del Sur,Mun,1st,43761
1600306000,Prosperidad,Agusan del Sur,Mun,1st,90162
1600307000,Rosario,Agusan del Sur,Mun,1st,51207
1600308000,San Francisco,Agusan del Sur,Mun,1st,79718
1600309000,San Luis,Agusan del Sur,Mun,1st,36264
1600310000,Santa Josefa,Agusan del Sur,Mun,1st,24667
1600311000,Talacogon,Agusan del Sur,Mun,1st,37744
1600312000,Trento,Agusan del Sur,Mun,1st,51179
1600313000,Veruela,Agusan del Sur,Mun,1st,43085
1600314000,Sibagat,Agusan del Sur,Mun,1st,33271
1606701000,Alegria,Surigao del Norte,Mun,4th,17846
1606702000,Bacuag,Surigao del Norte,Mun,4th,17076
1606704000,Burgos,Surigao del Norte,Mun,5th,4399
1606706000,Claver,Surigao del Norte,Mun,1st,39882
1606707000,Dapa,Surigao del Norte,Mun,2nd,31392
1606708000,Del Carmen,Surigao del Norte,Mun,3rd,20786
1606710000,General Luna,Surigao del Norte,Mun,3rd,25208
1606711000,Gigaquit,Surigao del Norte,Mun,3rd,22949
1606714000,Mainit,Surigao del Norte,Mun,3rd,29205
1606715000,Malimono,Surigao del Norte,Mun,4th,19442
1606716000,Pilar,Surigao del Norte,Mun,4th,11135
1606717000,Placer,Surigao del Norte,Mun,3rd,30442
1606718000,San Benito,Surigao del Norte,Mun,5th,5880
1606719000,San Francisco,Surigao del Norte,Mun,4th,16004
1606720000,San Isidro,Surigao del Norte,Mun,5th,8813
1606721000,Santa Monica,Surigao del Norte,Mun,5th,9757
1606722000,Sison,Surigao del Norte,Mun,4th,14826
1606723000,Socorro,Surigao del Norte,Mun,3rd,28436
1606724000,City of Surigao,Surigao del Norte,City,2nd,177333
1606725000,Tagana-An,Surigao del Norte,Mun,3rd,18158
1606727000,Tubod,Surigao del Norte,Mun,4th,16675
1606801000,Barobo,Surigao del Sur,Mun,1st,53729
1606802000,Bayabas,Surigao del Sur,Mun,4th,9016
1606803000,City of Bislig,Surigao del Sur,City,2nd,99872
1606804000,Cagwait,Surigao del Sur,Mun,2nd,22305
1606805000,Cantilan,Surigao del Sur,Mun,1st,34233
1606806000,Carmen,Surigao del Sur,Mun,4th,11859
1606807000,Carrascal,Surigao del Sur,Mun,1st,25672
1606808000,Cortes,Surigao del Sur,Mun,4th,18023
1606809000,Hinatuan,Surigao del Sur,Mun,1st,44475
1606810000,Lanuza,Surigao del Sur,Mun,3rd,13750
1606811000,Lianga,Surigao del Sur,Mun,2nd,34213
1606812000,Lingig,Surigao del Sur,Mun,1st,35203
1606813000,Madrid,Surigao del Sur,Mun,3rd,16872
1606814000,Marihatag,Surigao del Sur,Mun,2nd,19730
1606815000,San Agustin,Surigao del Sur,Mun,2nd,23612
1606816000,San Miguel,Surigao del Sur,Mun,1st,41942
1606817000,Tagbina,Surigao del Sur,Mun,1st,41157
1606818000,Tago,Surigao del Sur,Mun,1st,40097
1606819000,City of Tandag,Surigao del Sur,City,3rd,63098
1608501000,Basilisa,Dinagat Islands,Mun,3rd,27238
1608502000,Cagdianao,Dinagat Islands,Mun,1st,18679
1608503000,Dinagat,Dinagat Islands,Mun,4th,10820
1608504000,Libjo,Dinagat Islands,Mun,3rd,18157
1608505000,Loreto,Dinagat Islands,Mun,2nd,9940
1608506000,San Jose,Dinagat Islands,Mun,4th,26735
1608507000,Tubajon,Dinagat Islands,Mun,4th,8964
1630400000,City of Butuan,,City,1st,385530
1704001000,Boac,Marinduque,Mun,1st,54365
1704002000,Buenavista,Marinduque,Mun,4th,24136
1704003000,Gasan,Marinduque,Mun,2nd,35315
1704004000,Mogpog,Marinduque,Mun,2nd,32577
1704005000,Santa Cruz,Marinduque,Mun,1st,51594
1704006000,Torrijos,Marinduque,Mun,2nd,28535
1705101000,Abra De Ilog,Occidental Mindoro,Mun,1st,31910
1705102000,Calintaan,Occidental Mindoro,Mun,1st,31088
1705103000,Looc,Occidental Mindoro,Mun,4th,9426
1705104000,Lubang,Occidental Mindoro,Mun,4th,18761
1705105000,Magsaysay,Occidental Mindoro,Mun,1st,40987
1705106000,Mamburao,Occidental Mindoro,Mun,1st,44554
1705107000,Paluan,Occidental Mindoro,Mun,1st,19461
1705108000,Rizal,Occidental Mindoro,Mun,2nd,40319
1705109000,Sablayan,Occidental Mindoro,Mun,1st,91406
1705110000,San Jose,Occidental Mindoro,Mun,1st,143495
1705111000,Santa Cruz,Occidental Mindoro,Mun,1st,40010
1705201000,Baco,Oriental Mindoro,Mun,1st,40159
1705202000,Bansud,Oriental Mindoro,Mun,1st,44396
1705203000,Bongabong,Oriental Mindoro,Mun,1st,77540
1705204000,Bulalacao,Oriental Mindoro,Mun,1st,46439
1705205000,City of Calapan,Oriental Mindoro,City,2nd,148558
1705206000,Gloria,Oriental Mindoro,Mun,1st,52296
1705207000,Mansalay,Oriental Mindoro,Mun,1st,60597
1705208000,Naujan,Oriental Mindoro,Mun,1st,109122
1705209000,Pinamalayan,Oriental Mindoro,Mun,1st,90420
1705210000,Pola,Oriental Mindoro,Mun,2nd,35771
1705211000,Puerto Galera,Oriental Mindoro,Mun,1st,42301
1705212000,Roxas,Oriental Mindoro,Mun,1st,58428
1705213000,San Teodoro,Oriental Mindoro,Mun,2nd,19650
1705214000,Socorro,Oriental Mindoro,Mun,2nd,41612
1705215000,Victoria,Oriental Mindoro,Mun,1st,52215
1705301000,Aborlan,Palawan,Mun,1st,39972
1705302000,Agutaya,Palawan,Mun,5th,13351
1705303000,Araceli,Palawan,Mun,3rd,14554
1705304000,Balabac,Palawan,Mun,1st,42662
1705305000,Bataraza,Palawan,Mun,1st,87384
1705306000,Brooke's Point,Palawan,Mun,1st,76715
1705307000,Busuanga,Palawan,Mun,1st,26974
1705308000,Cagayancillo,Palawan,Mun,5th,7164
1705309000,Coron,Palawan,Mun,1st,69439
1705310000,Cuyo,Palawan,Mun,3rd,24702
1705311000,Dumaran,Palawan,Mun,1st,23795
1705312000,El Nido,Palawan,Mun,1st,51367
1705313000,Linapacan,Palawan,Mun,3rd,16782
1705314000,Magsaysay,Palawan,Mun,4th,13273
1705315000,Narra,Palawan,Mun,1st,80572
1705317000,Quezon,Palawan,Mun,1st,68532
1705318000,Roxas,Palawan,Mun,1st,69729
1705319000,San Vicente,Palawan,Mun,1st,33768
1705320000,Taytay,Palawan,Mun,1st,85258
1705321000,Kalayaan,Palawan,Mun,4th,406
1705322000,Culion,Palawan,Mun,1st,23985
1705323000,Dr. Jose P. Rizal,Palawan,Mun,1st,59040
1705324000,Sofronio Española,Palawan,Mun,1st,39371
1705901000,Alcantara,Romblon,Mun,4th,16417
1705902000,Banton,Romblon,Mun,5th,5848
1705903000,Cajidiocan,Romblon,Mun,3rd,23488
1705904000,Calatrava,Romblon,Mun,4th,11254
1705905000,Concepcion,Romblon,Mun,5th,3427
1705906000,Corcuera,Romblon,Mun,5th,9021
1705907000,Looc,Romblon,Mun,3rd,21964
1705908000,Magdiwang,Romblon,Mun,4th,15170
1705909000,Odiongan,Romblon,Mun,1st,48133
1705910000,Romblon,Romblon,Mun,2nd,39004
1705911000,San Agustin,Romblon,Mun,3rd,23698
1705912000,San Andres,Romblon,Mun,4th,16350
1705913000,San Fernando,Romblon,Mun,3rd,23660
1705914000,San Jose,Romblon,Mun,5th,11626
1705915000,Santa Fe,Romblon,Mun,4th,17578
1705916000,Ferrol,Romblon,Mun,5th,7826
1705917000,Santa Maria,Romblon,Mun,5th,8360
1731500000,City of Puerto Princesa,,City,1st,316384
1804502000,City of Bago,Negros Occidental,City,1st,192993
1804503000,Binalbagan,Negros Occidental,Mun,1st,72594
1804504000,City of Cadiz,Negros Occidental,City,1st,161558
1804505000,Calatrava,Negros Occidental,Mun,1st,83813
1804506000,Candoni,Negros Occidental,Mun,3rd,22083
1804507000,Cauayan,Negros Occidental,Mun,1st,110899
1804508000,Enrique B. Magalona,Negros Occidental,Mun,1st,65730
1804509000,City of Escalante,Negros Occidental,City,3rd,97050
1804510000,City of Himamaylan,Negros Occidental,City,2nd,117286
1804511000,Hinigaran,Negros Occidental,Mun,1st,90403
1804512000,Hinoba-an,Negros Occidental,Mun,1st,64364
1804513000,Ilog,Negros Occidental,Mun,1st,63444
1804514000,Isabela,Negros Occidental,Mun,1st,65399
1804515000,City of Kabankalan,Negros Occidental,City,1st,210893
1804516000,City of La Carlota,Negros Occidental,City,4th,67740
1804517000,La Castellana,Negros Occidental,Mun,1st,82500
1804518000,Manapla,Negros Occidental,Mun,1st,55882
1804519000,Moises Padilla,Negros Occidental,Mun,2nd,44864
1804520000,Murcia,Negros Occidental,Mun,1st,90123
1804521000,Pontevedra,Negros Occidental,Mun,1st,54941
1804522000,Pulupandan,Negros Occidental,Mun,3rd,31942
1804523000,City of Sagay,Negros Occidental,City,2nd,152543
1804524000,City of San Carlos,Negros Occidental,City,1st,133175
1804525000,San Enrique,Negros Occidental,Mun,4th,24424
1804526000,City of Silay,Negros Occidental,City,3rd,136802
1804527000,City of Sipalay,Negros Occidental,City,3rd,73847
1804528000,City of Talisay,Negros Occidental,City,3rd,109204
1804529000,Toboso,Negros Occidental,Mun,2nd,44973
1804530000,Valladolid,Negros Occidental,Mun,2nd,40487
1804531000,City of Victorias,Negros Occidental,City,4th,90290
1804532000,Salvador Benedicto,Negros Occidental,Mun,3rd,28231
1804601000,Amlan,Negros Oriental,Mun,3rd,26566
1804602000,Ayungon,Negros Oriental,Mun,1st,50688
1804603000,Bacong,Negros Oriental,Mun,2nd,43889
1804604000,City of Bais,Negros Oriental,City,3rd,88050
1804605000,Basay,Negros Oriental,Mun,3rd,30018
1804606000,City of Bayawan,Negros Oriental,City,1st,126744
1804607000,Bindoy,Negros Oriental,Mun,2nd,41543
1804608000,City of Canlaon,Negros Oriental,City,4th,62785
1804609000,Dauin,Negros Oriental,Mun,2nd,30921
1804610000,City of Dumaguete,Negros Oriental,City,2nd,142171
1804611000,City of Guihulngan,Negros Oriental,City,2nd,106576
1804612000,Jimalalud,Negros Oriental,Mun,3rd,32996
1804613000,La Libertad,Negros Oriental,Mun,2nd,42721
1804614000,Mabinay,Negros Oriental,Mun,1st,85770
1804615000,Manjuyod,Negros Oriental,Mun,1st,46461
1804616000,Pamplona,Negros Oriental,Mun,2nd,41209
1804617000,San Jose,Negros Oriental,Mun,4th,22870
1804618000,Santa Catalina,Negros Oriental,Mun,1st,80382
1804619000,Siaton,Negros Oriental,Mun,1st,84169
1804620000,Sibulan,Negros Oriental,Mun,1st,69092
1804621000,City of Tanjay,Negros Oriental,City,3rd,84593
1804622000,Tayasan,Negros Oriental,Mun,2nd,39005
1804623000,Valencia,Negros Oriental,Mun,1st,39986
1804624000,Vallehermoso,Negros Oriental,Mun,2nd,42421
1804625000,Zamboanguita,Negros Oriental,Mun,3rd,30412
1806101000,Enrique Villanueva,Siquijor,Mun,5th,6965
1806102000,Larena,Siquijor,Mun,4th,14933
1806103000,Lazi,Siquijor,Mun,4th,23092
1806104000,Maria,Siquijor,Mun,4th,15146
1806105000,San Juan,Siquijor,Mun,4th,17291
1806106000,Siquijor,Siquijor,Mun,3rd,30215
1830200000,City of Bacolod,,City,1st,624787
1900702000,City of Lamitan,Basilan,City,3rd,116652
1900703000,Lantawan,Basilan,Mun,2nd,48777
1900704000,Maluso,Basilan,Mun,2nd,66817
1900705000,Sumisip,Basilan,Mun,1st,55778
1900706000,Tipo-Tipo,Basilan,Mun,4th*,32734
1900707000,Tuburan,Basilan,Mun,2nd,30027
1900708000,Akbar,Basilan,Mun,4th,27911
1900709000,Al-Barka,Basilan,Mun,4th,30318
1900710000,Hadji Mohammad Ajul,Basilan,Mun,4th,32806
1900711000,Ungkaya Pukan,Basilan,Mun,4th,31041
1900712000,Hadji Muhtamad,Basilan,Mun,5th,30122
1900713000,Tabuan-Lasa,Basilan,Mun,4th,38964
1903601000,Bacolod-Kalawi,Lanao del Sur,Mun,1st,24381
1903602000,Balabagan,Lanao del Sur,Mun,2nd,31227
1903603000,Balindong,Lanao del Sur,Mun,2nd,40047
1903604000,Bayang,Lanao del Sur,Mun,3rd,30227
1903605000,Binidayan,Lanao del Sur,Mun,3rd,27031
1903606000,Bubong,Lanao del Sur,Mun,1st,28733
1903607000,Butig,Lanao del Sur,Mun,2nd,25394
1903609000,Ganassi,Lanao del Sur,Mun,2nd,33897
1903610000,Kapai,Lanao del Sur,Mun,2nd,21630
1903611000,Lumba-Bayabao,Lanao del Sur,Mun,1st,50959
1903612000,Lumbatan,Lanao del Sur,Mun,4th,24988
1903613000,Madalum,Lanao del Sur,Mun,1st,30044
1903614000,Madamba,Lanao del Sur,Mun,3rd,24886
1903615000,Malabang,Lanao del Sur,Mun,1st,58377
1903616000,Marantao,Lanao del Sur,Mun,1st,46233
1903617000,City of Marawi,Lanao del Sur,City,3rd,259993
1903618000,Masiu,Lanao del Sur,Mun,3rd,36803
1903619000,Mulondo,Lanao del Sur,Mun,2nd,23159
1903620000,Pagayawan,Lanao del Sur,Mun,3rd,15659
1903621000,Piagapo,Lanao del Sur,Mun,2nd,40558
1903622000,Poona Bayabao,Lanao del Sur,Mun,2nd,33307
1903623000,Pualas,Lanao del Sur,Mun,3rd,18020
1903624000,Ditsaan-Ramain,Lanao del Sur,Mun,2nd,26918
1903625000,Saguiaran,Lanao del Sur,Mun,3rd,28807
1903626000,Tamparan,Lanao del Sur,Mun,3rd,37190
1903627000,Taraka,Lanao del Sur,Mun,2nd,29558
1903628000,Tubaran,Lanao del Sur,Mun,2nd,17567
1903629000,Tugaya,Lanao del Sur,Mun,3rd,26283
1903630000,Wao,Lanao del Sur,Mun,1st,51081
1903631000,Marogong,Lanao del Sur,Mun,2nd,33595
1903632000,Calanogas,Lanao del Sur,Mun,4th,17585
1903633000,Buadiposo-Buntong,Lanao del Sur,Mun,3rd,23283
1903634000,Maguing,Lanao del Sur,Mun,1st,37292
1903635000,Picong,Lanao del Sur,Mun,3rd,19296
1903636000,Lumbayanague,Lanao del Sur,Mun,3rd,21469
1903637000,Amai Manabilang,Lanao del Sur,Mun,1st,14837
1903638000,Tagoloan II,Lanao del Sur,Mun,3rd,12843
1903639000,Kapatagan,Lanao del Sur,Mun,2nd,23228
1903640000,Sultan Dumalondong,Lanao del Sur,Mun,5th,12984
1903641000,Lumbaca-Unayan,Lanao del Sur,Mun,5th,8768
1907001000,Panglima Sugala,Tawi-Tawi,Mun,1st,52657
1907002000,Bongao,Tawi-Tawi,Mun,1st,131887
1907003000,Mapun,Tawi-Tawi,Mun,3rd,29218
1907004000,Simunul,Tawi-Tawi,Mun,2nd,35616
1907005000,Sitangkai,Tawi-Tawi,Mun,1st,42172
1907006000,South Ubian,Tawi-Tawi,Mun,2nd,31942
